n_stk;n_man;cancel;emergency;unemergency;feebump
2;1;607;436;607;272
2;2;715;436;715;272
2;3;822;436;822;272
2;4;931;436;931;272
2;5;1038;436;1038;272
2;6;1145;436;1145;272
2;7;1252;436;1252;272
2;8;1359;436;1359;272
2;9;1466;436;1466;272
2;10;1573;436;1573;272
3;1;771;543;771;272
3;2;852;543;852;272
3;3;959;543;959;272
3;4;1066;543;1066;272
3;5;1173;543;1173;272
3;6;1280;543;1280;272
3;7;1387;543;1387;272
3;8;1494;543;1494;272
3;9;1601;543;1601;272
3;10;1708;543;1708;272
4;1;942;650;942;272
4;2;987;650;987;272
4;3;1094;650;1094;272
4;4;1201;650;1201;272
4;5;1308;650;1308;272
4;6;1415;650;1415;272
4;7;1522;650;1522;272
4;8;1629;650;1629;272
4;9;1736;650;1736;272
4;10;1843;650;1843;272
5;1;1111;757;1111;272
5;2;1147;757;1147;272
5;3;1229;757;1229;272
5;4;1336;757;1336;272
5;5;1443;757;1443;272
5;6;1550;757;1550;272
5;7;1657;757;1657;272
5;8;1764;757;1764;272
5;9;1871;757;1871;272
5;10;1978;757;1978;272
6;1;1280;864;1280;272
6;2;1316;864;1316;272
6;3;1364;864;1364;272
6;4;1471;864;1471;272
6;5;1578;864;1578;272
6;6;1685;864;1685;272
6;7;1792;864;1792;272
6;8;1899;864;1899;272
6;9;2006;864;2006;272
6;10;2113;864;2113;272
7;1;1449;971;1449;272
7;2;1485;971;1485;272
7;3;1520;971;1520;272
7;4;1606;971;1606;272
7;5;1713;971;1713;272
7;6;1820;971;1820;272
7;7;1927;971;1927;272
7;8;2034;971;2034;272
7;9;2141;971;2141;272
7;10;2248;971;2248;272
8;1;1618;1080;1618;272
8;2;1654;1080;1654;272
8;3;1689;1080;1689;272
8;4;1741;1080;1741;272
8;5;1848;1080;1848;272
8;6;1955;1080;1955;272
8;7;2062;1080;2062;272
8;8;2169;1080;2169;272
8;9;2276;1080;2276;272
8;10;2384;1080;2384;272
9;1;1787;1187;1787;272
9;2;1823;1187;1823;272
9;3;1858;1187;1858;272
9;4;1893;1187;1893;272
9;5;1983;1187;1983;272
9;6;2090;1187;2090;272
9;7;2197;1187;2197;272
9;8;2304;1187;2304;272
9;9;2411;1187;2411;272
9;10;2518;1187;2518;272
10;1;1956;1294;1956;272
10;2;1992;1294;1992;272
10;3;2027;1294;2027;272
10;4;2062;1294;2062;272
10;5;2118;1294;2118;272
10;6;2225;1294;2225;272
10;7;2332;1294;2332;272
10;8;2439;1294;2439;272
10;9;2546;1294;2546;272
10;10;2653;1294;2653;272
